"wkn_514000";"wkn_515100";"wkn_519000";"wkn_543900";"wkn_555200";"wkn_555750";"wkn_575200";"wkn_500340"
63.55;27.445;36.1;58.86;19.24;15.03;27.77;33.785
63.61;27.6;36.35;58.5;19.37;14.85;27.83;33.5925
64.3;27.89;36.9;57.58;19.61;14.98;28.1;33.9
63.9;27.875;36.87;58.0;19.5;14.9;27.95;33.785
64.61;27.85;36.75;57.8;19.56;14.87;28.38;34.375
64.8;28.065;36.95;57.68;19.4;14.94;28.49;34.825
64.9;28.19;37.25;57.9;19.12;14.87;28.46;35.1475
64.84;28.215;37.2;57.22;19.05;14.9;28.38;35.025
64.44;28.0;36.4;57.0;18.91;14.79;28.03;34.8525
64.69;28.215;36.62;57.25;19.13;14.86;28.19;35.0
65.1;28.4;36.62;57.32;19.25;14.95;28.05;35.0
64.76;28.115;36.33;58.42;19.18;14.91;28.22;35.1625
64.85;28.125;36.95;60.4;19.43;14.85;28.5;35.475
65.1;28.01;37.4;61.27;19.61;14.75;28.47;35.825
64.89;28.0;37.45;59.85;19.44;14.64;28.4;35.625
63.85;27.415;36.7;59.1;19.25;14.71;27.7;35.0625
63.16;27.29;36.51;58.55;19.0;14.68;27.35;34.575
63.69;27.91;37.2;59.8;19.22;14.87;27.74;35.0875
64.32;27.585;37.45;60.72;19.33;15.09;27.75;34.9
64.68;27.5;37.85;59.6;19.3;15.3;27.62;34.7
65.22;27.82;38.03;59.82;19.3;15.4;27.81;35.51
65.42;27.775;38.84;59.9;19.36;15.52;27.65;35.4375
65.36;27.45;38.54;59.25;19.19;15.39;27.63;35.185
65.66;27.375;38.56;59.0;19.2;15.38;27.41;35.18
64.65;27.0;38.05;58.6;18.96;15.29;26.95;34.875
65.0;27.4;38.52;58.7;19.11;15.39;27.23;34.735
65.85;27.555;38.91;59.0;19.21;15.49;27.73;34.7875
66.3;27.6;38.45;59.33;19.12;15.61;27.98;35.035
67.14;27.775;38.9;61.1;19.39;15.67;28.12;35.745
68.7;28.125;39.15;61.35;19.32;15.6;28.15;36.3
69.0;28.025;39.06;61.2;19.34;15.63;28.2;36.275
69.2;28.05;39.06;61.74;19.21;15.66;28.63;36.3125
70.16;28.675;39.3;62.36;19.26;15.76;28.75;36.78
70.65;28.895;39.56;62.91;19.38;15.9;29.1;36.6225
71.15;29.05;39.35;63.35;20.12;15.83;29.41;37.0
70.89;28.775;38.9;63.28;20.23;15.95;29.5;36.815
70.8;28.825;39.25;63.16;20.26;15.96;29.61;36.7625
